hgnc_symbol	SLA1216	SLA2015_281116	SLA3014	SLA3315	SLA416	SLA615	SLA715	c258	c757	c840	c844
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0	0	0	1.38	0	0
7SK	0	0	0	2.22	1.19	0	0	0	0.15	0	0.01
A1BG	0.07	1.69	3.72	1.74	0.41	0	0	0	0.02	0	0
A1BG-AS1	0	0.77	0.56	1.08	0	0.93	1.39	0	0	0.26	0
A1CF	0.25	0	0	0.01	0.02	0	0.01	0	0	0	0
A2M	0.91	11.54	18.01	25.94	2.06	4.3	4	0	1.27	2.63	0
A2M-AS1	0	4.94	5.98	12.02	0.28	1.88	2.64	0.12	0.45	1.11	0.11
A2ML1	0	0	0	0	0	0	0.03	0	0.06	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0.96	0	0.85	0	0.11	0	0	0.05	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0.47	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0
AA06	1.39	0	0	0	0	0	0	0	0	0	0
AAAS	0.31	2.52	6.52	5.17	0.92	2.32	3.49	0	0.06	0.63	0
AACS	0.78	1.97	0.34	1.16	0.02	0.97	0.36	0	0.1	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0.12	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0
AAED1	0.22	0.97	0.16	1.57	0.59	0.9	0.41	0	0.06	0	0.09
AAGAB	0.09	3.64	1.59	5.81	1.19	1.94	1.64	0	0.23	0.7	0
AAK1	0.72	18.91	18.26	34.41	3.17	14.19	10.77	1.34	1.42	0.84	0.33
AAMDC	0	0.35	0	0	0.37	0.45	0	0	0	0	0
AAMP	0.8	3.64	4.91	5.91	1.14	2.01	2.63	0.47	0.01	0	0
AANAT	0	0	0	0	0	0.06	0	0	0.05	0	0
AAR2	0.55	0.8	0.48	1.6	0.64	0.68	0.72	0	0.05	0	0
AARD	0	0	0	0	0	0	0	0	0	0	0
AARS	0.13	3.18	4.09	3.25	0.31	1.43	1.87	0	0.08	0.57	0
AARS2	0.08	1.33	1.94	1.05	0.74	0.56	1.27	0	0.02	0.11	0
AARSD1	0.4	3.71	5.17	2.28	0.58	3.36	1.91	0	0.05	0.4	0
AARSP1	0	0	0	0	0	0	0	0	0	0	0
AASDH	0.39	1.22	5.15	4.86	0.15	2.41	0.99	0	0.15	0	0
AASDHPPT	0.5	1.1	1.01	2.84	0.77	0.48	1.08	0	0.1	0.19	0.2
AASS	0.45	0.69	0.37	0.65	0	0.26	0.45	0	0.03	0.15	0
AATBC	0.03	1.03	4.9	2.81	0.08	3.18	3.07	0.32	0.12	0.81	0.05
AATF	2.1	4.27	3.84	7.48	0.92	3.27	3.73	0.25	0.22	1.44	0.11
AATK	1.8	0.75	0.22	0.32	2.57	0.06	0.72	0	0	0.11	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	0.31	0	0	0	0	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	0	0.17	0	0	0	0	0	0	0	0	0
ABALON	0	0.41	0	0.64	0.24	0.08	0.25	0	0	0	0
ABAT	2.33	3.47	3.49	3.58	0.8	1.78	0.91	0	0.03	0	0
ABBA01000934.1	0	0	0	0	0	0	0	0	0	0	0
ABC11-4932300O16.1	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0	0
ABC12-49244600F4.4	0	0.67	0	0.42	0	0	1.79	0	0.06	0	0
ABC13-47488600E17.1	0.08	1.92	1.04	1.1	0.08	0.34	0.39	0	0.08	0	0
ABC13-47656900H15.1	0.22	0	0	0	0	0	0	0	0	0	0
ABC14-1188822O7.1	0	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.4	0	0	0	0	0	0	0	0	0	0	0
ABC7-42404400C24.1	0	0.08	0	0	0.03	0	0.09	0	0	0	0
ABC7-42418200C9.1	0.39	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.1	1.75	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.2	0	0	0	1.84	0	0	0	0	0	0	0
ABC8-43014700C16.1	0	0	0	0	0	0	0	0	0	0	0
ABCA1	0.7	0.54	0.96	2.16	1.6	1.08	0.94	0.07	0.23	0.55	0.06
ABCA10	0	0.24	0.64	0.12	0	0.37	0	0	0	0.18	0
ABCA11P	0	0.81	0.55	0.26	0	0.46	0.22	0	0.04	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0.22	0	0	0	0.04	0.01	0.01	0.08	0	0	0
ABCA17P	0.13	0	0	0.16	0	0.03	0	0	0	0	0
ABCA2	1.37	4	23.56	10.38	1.94	2.17	14.77	0.33	0.61	0.06	0.13
ABCA3	0.53	0.94	0.7	1.25	0.13	0.42	0.36	0	0.02	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0
ABCA5	1.74	4.86	2.53	7.47	0.43	4.8	3.37	0.18	0.18	1.06	0.15
ABCA6	0.04	0.61	0.36	0.63	0.03	2.04	0.14	0	0.07	0	0
ABCA7	1.78	8.57	8.5	17.98	1.67	4.29	11.31	0	0.26	0	0.12
ABCA8	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0.07	0.07	0.06	0	0	0.17	0.05	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0.33	1.19	5.6	2.29	0.03	0.68	1.28	0.49	0.17	0.28	0
ABCB10	1.9	1.59	0.59	1.58	0.92	1.59	0.76	0.07	0.05	0.06	0
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0
ABCB4	3.85	1.85	1.03	0.54	0	0.52	0.84	0	0	0	0
ABCB5	0.07	0	0	0	0	0	0	0	0	0	0
ABCB6	0	0.76	0.38	0.56	0.73	0.78	1.1	0	0	0	0
ABCB7	0.33	4.87	1.29	4.33	1.1	2.52	4.28	0	0.63	0.1	0
ABCB8	0.13	2.01	1.77	6.6	0.79	1.87	2.54	0.14	0.01	0	0
ABCB9	0.65	0.37	0.94	0.14	0	0.18	0.17	0	0.02	0	0
ABCC1	0.79	4.56	2.5	7.03	0.77	4.84	3.78	0.41	0.2	0.4	0
ABCC10	0	3.51	1.58	6.1	1.43	3.29	3.35	0	0.03	0.04	0
ABCC11	0.03	0	0	0.11	0	0	0	0	0	0	0
ABCC12	0.62	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0.36	0.36	0	0.89	0	0.69	0.38	0	0.01	0	0
ABCC3	18.33	27.95	2.31	3.62	5.57	0.61	4.49	0	0.18	1.01	0
ABCC4	3.57	8.55	1.65	4.17	3.59	1.36	2.74	0.09	0.1	0.23	0.08
ABCC5	0.62	3.38	1.19	2.82	0.54	1.36	1.63	0	0.04	0.2	0
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0.06	0.15	0.89	0.43	0	0	0.95	0	0	0.1	0
ABCC6P1	0	0.27	0.41	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0.02	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0.85	0.02	0	0.05	0	0	0	0	0	0	0
ABCD1	0.2	1.03	2.29	1.58	0.57	0.03	1.59	0.29	0	0	0
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0.09	1.18	0.36	2.31	0.14	0.92	0.79	0	0.04	0.1	0
ABCD3	0	2.22	1.23	4.2	0.84	2.31	1.7	0	0.12	0.29	0
ABCD4	0.83	5.93	11.38	11.52	2	4.4	4.41	0.48	0.21	0.45	0
ABCE1	0.94	3.32	2.63	10.75	1.73	4.64	1.76	0.4	0.51	1.43	0
ABCF1	0.36	4.68	3.05	9.44	1.1	2.81	1.62	0.53	1.01	0.47	0.3
ABCF2	0.35	4.27	2.31	3.67	1.05	2.75	3.48	0	0.07	0.1	0
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0
ABCF3	2.06	6.92	8.59	6.3	0.81	5.64	4.06	0.74	0.36	0	0.1
ABCG1	0.71	1.27	0.53	2.58	0.31	1.06	0.78	0.76	0.11	0.28	0
ABCG2	0	0.12	0	0.06	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0
ABHD1	1	0.24	1.32	0.42	0.43	0.18	0.12	0	0.06	0	0
ABHD10	0.56	1.58	1.69	2.13	1.18	0.85	0.44	0	0.09	0.08	0
ABHD11	0	0.32	0	1.88	0.72	0.61	0.59	0	0	0	0
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0
ABHD12	1.73	0.86	0	1.75	0.29	2.03	1.69	0	0.32	0	0
ABHD12B	0.1	0	0	0.18	0	0	0	0	0.01	0	0
